nombre_colegio,departamento_colegio,municipio_colegio,area_colegio,sector_colegio,lectura_critica,matematicas,sociales,ciencias,ingles,global,n_estudiantes
ce nuestra señora del carmen,choco,bajo baudó,rural,oficial,38.3333333333333,32.1111111111111,33.5555555555556,37.5555555555556,38.3333333333333,178,9
ce pascual santander,choco,nuquí,rural,oficial,36,39,39.4,39.4,37.2,191.8,5
ce primitivo palacios,choco,carmen del darién,rural,oficial,43.5357142857143,42.7142857142857,38.8214285714286,40.6428571428572,40.2142857142857,206.642857142857,28
ce san francisco,choco,acandí,rural,oficial,47,40.0833333333333,37.75,40.8333333333333,41.5,207.083333333333,12
ce san jose de buey,choco,medio atrato,rural,oficial,34,33,28,40,,169,1
ce san lorenzo de orpua,choco,bajo baudó,rural,oficial,43,39,36,37,31,191,1
ce san onofre,choco,nóvita,rural,oficial,37.5,40.5,35.5,39,35,189.5,2
ce san pedro claver,choco,bajo baudó,rural,oficial,45.1428571428572,47.1428571428571,38.2857142857143,38.1428571428572,34.5714285714286,207.857142857143,7
ce santa barbara,choco,río iró,rural,oficial,40,35.5833333333333,37.5833333333333,39.3333333333333,38.5833333333333,190.75,12
ce santa maria de belen de bajira,choco,belén de bajirá,rural,oficial,44.8636363636364,48.5454545454546,39.4090909090909,42.1363636363636,40.7727272727273,217.5,22
ce santa teresita,choco,sipí,rural,oficial,42.3636363636364,33.7272727272727,35.1818181818182,36.4545454545455,33.8181818181818,183.363636363636,11
ce simon bolivar,choco,belén de bajirá,rural,oficial,40.4878048780488,38.3658536585366,35.390243902439,37.7317073170732,38.6829268292683,190.268292682927,41
ce siviru,choco,bajo baudó,rural,oficial,42.75,37.75,37,40.75,39.6666666666667,197,4
ce union charco largo,choco,sipí,rural,oficial,40,40.5,36.25,40.5,37.25,195.75,4
cea school - empresarial de los andes,huila,neiva,urbano,no oficial,66,63.0857142857143,61.2571428571429,63.0285714285714,64.6571428571429,317.057142857143,35
cecove,santander,barrancabermeja,urbano,no oficial,48.0714285714286,44.5714285714286,40,43.2857142857143,43.5714285714286,219.714285714286,14
celestin freinet,caqueta,florencia,urbano,no oficial,44.8,43.6,44,43.8,43.3333333333333,219.866666666667,15
cen educ comunal francisco de paula santander,cesar,valledupar,urbano,no oficial,53.1612903225807,47.8064516129032,46.7096774193548,49.1612903225807,50.8387096774194,246.677419354839,31
cen educ santa teresita,cesar,valledupar,urbano,no oficial,57,52.1,49.675,51.75,54.525,263.925,40
cencosistemas soacha,cundinamarca,soacha,urbano,no oficial,43.7272727272727,41.9090909090909,37.2727272727273,42,43.3636363636364,206.909090909091,11
censa,caldas,chinchiná,urbano,no oficial,41,44.3333333333333,40.6666666666667,44,43,212.333333333333,3
censa,caldas,manizales,urbano,no oficial,51.0153846153846,45.1538461538462,43.9846153846154,45.5384615384616,47.3846153846154,232.492307692308,65
cent  educ bto en bienestar rural marsella,risaralda,marsella,rural,oficial,43.2142857142857,39.6428571428572,36.1428571428572,41.3571428571429,41.0714285714286,200.714285714286,14
cent cial de educ media margarita bosco,bogotá,bogotá d.c.,urbano,no oficial,62.625,61.5357142857143,60.1428571428572,60.5,67.1607142857143,308.303571428571,56
cent cial madre elisa roncallo,bogotá,bogotá d.c.,urbano,no oficial,58.65,56.75,53.2,54,59.75,279.85,20
cent de desarrollo integrado - cendi,antioquia,medellín,urbano,no oficial,46.2522361359571,41.093023255814,39.9445438282648,40.9803220035778,41.3559928443649,210.044722719141,559
cent de educ formal robert hooke,bogotá,bogotá d.c.,urbano,no oficial,45.1857142857143,41.5,40.0142857142857,41.3642857142857,42.6071428571429,210.335714285714,140
cent de educ robert hooke,bogotá,bogotá d.c.,urbano,no oficial,48.5,44.9545454545455,41.7272727272727,43.6363636363636,41.6363636363636,222.363636363636,22
cent de enseñanza precoz lic valderrama,cordoba,montería,urbano,no oficial,60.5,56.4285714285714,62.9285714285714,60.8571428571429,69.5833333333333,302.928571428571,14
cent de formacion educativa cenfe,cundinamarca,chía,urbano,no oficial,49.9333333333333,47.5333333333333,44.4666666666667,47.8666666666667,53.1333333333333,239.466666666667,15
cent de integracion educacion del norte (cien ),bogotá,bogotá d.c.,urbano,no oficial,64.8292682926829,65.5609756097561,60.2439024390244,61,67.0243902439025,316.073170731707,41
cent del inmacualdo corazon de maria,cauca,popayán,urbano,no oficial,57.7777777777778,56.3888888888889,51.2222222222222,53.0555555555556,58.3888888888889,274.5,18
cent doc parroq san marcos,valle,cali,urbano,no oficial,52.7727272727273,48.4545454545455,46.3181818181818,47.5454545454546,51.5909090909091,244.818181818182,22
cent doc santiago de cali,valle,cali,urbano,no oficial,60.4230769230769,57.0961538461539,57.8461538461539,57.4038461538462,65.5576923076923,293.884615384615,52
cent educ autonomo,antioquia,medellín,urbano,no oficial,61.9375,59.5625,56.46875,57.3125,61.125,295,32
cent educ col gimnasio santander,boyaca,tunja,urbano,no oficial,56.421052631579,57.1578947368421,55,54.7368421052632,56.6842105263158,279.421052631579,19
cent educ comunit omar torrijos,valle,cali,urbano,no oficial,56.36,54.16,54.12,51.16,54.2,269.8,25
cent educ de nstra sra de la paz,bogotá,bogotá d.c.,urbano,no oficial,60.4,60.7125,55.7,57.0875,61.3544303797468,293.4875,80
cent educ dist la giralda,bogotá,bogotá d.c.,urbano,oficial,57.1744186046512,56.1046511627907,52.6976744186047,54.1162790697675,54.4418604651163,274.860465116279,86
cent educ integ bucarelly,antioquia,medellín,urbano,no oficial,61.15,55.5,54.8,54.45,60.75,284,20
cent educ juan carlos garzon,valle,cali,urbano,no oficial,59.8823529411765,57.8529411764706,55.264705882353,55.7058823529412,56.0588235294118,285.5,34
cent educ paulo freire,santander,bucaramanga,urbano,no oficial,57,44.2,49.6,49,59,253.4,5
cent educ pedagogico del norte,sucre,sincelejo,urbano,no oficial,51.4545454545455,46.5454545454546,44.9545454545455,47.2272727272727,53.9090909090909,240.181818181818,22
cent educ rur florentino blanco,norte santander,el zulia,rural,oficial,49.8,52.5333333333333,44.1333333333333,46.2666666666667,44.6,239.466666666667,15
cent educ rur maria auxiliadora,norte santander,cucutilla,rural,oficial,46.0588235294118,42.9411764705882,41.9411764705882,43.2941176470588,44.8235294117647,218.294117647059,17
cent educ rur presidente,norte santander,chitagá,rural,oficial,46,40.2857142857143,40.2857142857143,44,41.7142857142857,213,7
cent educ rur roman,norte santander,cucutilla,rural,oficial,46.1666666666667,46.4166666666667,39.0833333333333,42.5,40.75,216.583333333333,12
cent educ rur san juan,norte santander,san calixto,rural,oficial,48,45,41.5,47.5,44.5,227,2
cent educ rur santa barbara,norte santander,toledo,rural,oficial,46.4166666666667,44.5833333333333,38.3333333333333,42.75,39.1666666666667,213.583333333333,12
cent educ sagrada familia de nazareth,bogotá,bogotá d.c.,urbano,no oficial,62.6836734693878,62.9591836734694,59.9489795918367,60.8877551020408,65.1530612244898,309.438775510204,98
cent educ sebastian de belalcazar,valle,cali,urbano,no oficial,59.2692307692308,53.1153846153846,52.8461538461539,54.1538461538462,62.5,277.192307692308,26
cent educal conquistadores,antioquia,medellín,urbano,no oficial,58.7058823529412,58.764705882353,53.764705882353,54,68.5294117647059,286.294117647059,17
cent educal don bosco,antioquia,medellín,urbano,no oficial,58.5,57.5,53.8333333333333,54.75,62.5833333333333,283.194444444445,36
cent educativo del norte la merced,cauca,popayán,urbano,no oficial,54.3333333333333,50.5,51.6666666666667,54.3333333333333,55.4,262.5,6
cent educativo empresarial comfacauca,cauca,popayán,urbano,no oficial,49.1157894736842,46.4631578947369,43.4421052631579,45.6631578947368,45.9684210526316,230.768421052632,95
cent educativo integral colombiano,santander,floridablanca,urbano,no oficial,52.5238095238095,45.2857142857143,44.3809523809524,46.6666666666667,45.1428571428572,235.285714285714,21
cent estudiantil ocupacional,norte santander,cúcuta,urbano,no oficial,45,43.3333333333333,37.5,43.3333333333333,41.1666666666667,211.166666666667,6
cent mix ana maria arrieta,cordoba,san andrés de sotavento,rural,no oficial,57.5,52.7916666666667,50.7916666666667,55.5416666666667,65.2916666666667,275.041666666667,24
cent panamericano de capacitacion sede estrada,bogotá,bogotá d.c.,urbano,no oficial,52.0921052631579,50.3289473684211,46.2631578947369,48.7368421052632,50.3026315789474,247.078947368421,76
