date,Bovespa,IBrX100,Merval,IPSA,IGPA,IGBC,IPC_Mexico
2017-04-06,64223,52.060001373291016,20813,4897.64013671875,24503.810546875,10185.0595703125,49012.421875
2015-05-14,56657,46.11000061035156,12345,4076.72998046875,19786.810546875,10597.5,45271.4609375
2017-09-22,75390,61.5,24995,5289.919921875,26406.83984375,11109.41015625,50313.51171875
2019-05-20,91946,75.55000305175781,33493,4914.47998046875,25125.240234375,12102.6904296875,43519.21875
2016-06-21,50838,40.95000076293945,13681,3989.2099609375,19713.25,9886.6298828125,45705.421875
2019-05-17,89993,73.9000015258789,33316,4925.580078125,25186.3203125,12237.240234375,43445.62109375
2017-07-18,65338,53.59000015258789,21075,5039.72021484375,25151.919921875,10984.2001953125,51099.7109375
2019-01-03,91564,74.029998779296875,31065,5129.14990234375,26033.810546875,11342.9296875,42044.3203125
2016-07-18,56484,46.04999923706055,15999,4112.27978515625,20284.189453125,9948.7099609375,46961.25
2017-05-19,62639,51.130001068115234,21615,4793.7099609375,24084.75,10706.919921875,49067.46875
2015-09-09,46657,39.029998779296875,11159,3734.4599609375,18265.630859375,9461.1103515625,42754.6796875
2016-04-11,50165,40.93000030517578,12185,3923.3798828125,19239.140625,9873.3203125,44760.53125
2014-08-08,55573,45.130001068115234,8228,3894.4599609375,19009.779296875,14171.0400390625,44105.94921875
2019-02-11,94413,77.19999694824219,37024,5375.06982421875,27220.990234375,11877.01953125,43285.171875
2018-01-18,80963,65.5999984741211,34049,5839.3701171875,29318.26953125,11880.740234375,49911.96875
2017-01-31,64671,52.459999084472656,19063,4199.5,20988.58984375,10165.33984375,47001.05859375
2015-11-04,47710,39.959999084472656,12799,3865.679931640625,18973.279296875,9207.8603515625,45373.171875
2018-07-23,77996,63.349998474121094,27704,5407.58984375,27238.609375,12257.33984375,48850.9296875
2017-02-03,64954,52.66999816894531,19201,4261.97998046875,21266.720703125,10201.4501953125,47225.1015625
2014-03-31,50415,41.119998931884766,6374,3772.760009765625,18552.5703125,13827.009765625,40461.6015625
2014-09-10,58199,46.900001525878906,10767,4067.050048828125,19708.76953125,14350.3701171875,45894.05078125
2017-02-24,66662,54.150001525878906,19118,4343.669921875,21725.80078125,9939.7099609375,47047.671875
2016-09-01,58236,47.65999984741211,15741,4120.7998046875,20449.08984375,10154.009765625,47563.33984375
2019-03-06,94217,77.05000305175781,32340,5256.06982421875,26615.310546875,12467.150390625,41908.1484375
2019-01-28,95444,78,34841,5445.91015625,27447.240234375,11750.98046875,43626.1484375
2014-08-14,55780,45.2599983215332,8374,3955.3798828125,19242.7890625,14176.7998046875,44793.01953125
2015-09-08,46762,38.70000076293945,11177,3755.1201171875,18356.8203125,9582.26953125,43083.94140625
2013-12-18,50563,41.220001220703125,5411,3664.820068359375,18066.810546875,12979.4501953125,42079.87109375
2018-08-08,79152,64.19999694824219,26675,5318.60986328125,26897.4609375,12188.3798828125,49894.55859375
2017-01-17,64354,52.150001525878906,18876,4231.330078125,21088.830078125,10172.740234375,46002.55859375
2013-07-17,47407,39.06999969482422,3476,3864.429931640625,19141.599609375,13304.83984375,40240.19140625
2019-04-24,95045,77.6500015258789,29747,5201.43994140625,26364.44921875,12982.76953125,45045.328125
2018-10-29,83797,68,28898,5063.6298828125,25794.619140625,12422.8603515625,43879.12890625
2016-07-27,56853,46.650001525878906,15699,4146.669921875,20483.76953125,9769.9404296875,46812.0703125
2017-02-01,64836,52.720001220703125,19201,4204.2001953125,21007.640625,10142.75,47009.51171875
2017-03-13,65534,53.279998779296875,19188,4542.39990234375,22803.259765625,9976.91015625,47101.140625
2019-06-14,98040,80.75,40488,5058.8798828125,25706.91015625,12316.5703125,43130.6484375
2014-01-30,47244,38.54999923706055,5858,3391.31005859375,16938.4296875,11959.2001953125,41008.30078125
2017-05-02,66722,54.400001525878906,21158,4878.1201171875,24466.310546875,10210.6298828125,49588.83984375
2018-02-07,82767,67.44999694824219,31627,5750.60986328125,28953.98046875,11726.240234375,48976.44921875
2017-03-22,63521,51.540000915527344,19667,4689.77978515625,23486.4296875,10052.150390625,48487.30078125
2018-06-18,69815,56.95000076293945,27657,5447.39013671875,27538.669921875,12301.169921875,46660.87109375
2016-01-07,40695,33.849998474121094,11390,3557.77001953125,17624.76953125,8159.16015625,40661.5703125
2017-11-03,73915,60.2599983215332,27978,5485.89013671875,27580.51953125,10574.240234375,48534.83984375
2013-11-08,52249,43.2400016784668,5294,3837.6201171875,18928.25,13478.8798828125,39864.16015625
2018-04-13,84334,68.18000030517578,31593,5630.89990234375,28166.5,12081.169921875,48768.30078125
2018-09-04,74712,60.70000076293945,27625,5173.02978515625,26184.26953125,12216.76953125,48884.171875
2018-04-20,85550,69.279998779296875,31162,5689.47021484375,28575.109375,12367.8203125,48431.578125
2018-07-26,79405,64.4000015258789,29205,5442.68017578125,27397.5390625,12175.9697265625,49438.23828125
2014-07-17,55638,44.95000076293945,8342,3946.669921875,19208.830078125,13902.7001953125,43920.76171875
2015-06-09,52816,43.47999954223633,11382,3906.6201171875,19063.75,10275.5595703125,44519.2109375
2015-09-30,45059,37.29999923706055,9815,3685.179931640625,18056.2109375,9282.6796875,42632.5390625
2017-06-12,61700,50.59000015258789,21145,4850.419921875,24298.900390625,10731.58984375,49128.76171875
2014-11-04,54384,43.779998779296875,11024,3901.14990234375,19056.7890625,13141,44884.4296875
2018-11-09,85641,69.55000305175781,29913,5180.35009765625,26301.23046875,12355.3603515625,44263.73828125
2015-09-02,46464,38.380001068115234,10800,3799.429931640625,18536.76953125,9420.9296875,42969.9296875
2019-04-16,94333,77.25,32290,5261,26655.400390625,12956.0400390625,45009.359375
2013-04-29,54887,42.150001525878906,3815,4257.9501953125,20942.419921875,13457.4404296875,41910.53125
2016-02-18,41478,34.31999969482422,11991,3768.239990234375,18459.609375,9043.8095703125,43516.66015625
2014-01-23,48321,40.029998779296875,5772,3673.22998046875,18131.48046875,12398.23046875,41531.80078125
2019-02-01,97861,79.69999694824219,36600,5452.97021484375,27508.4609375,11935.080078125,43738.26953125
2017-04-17,64335,52.099998474121094,20748,4860.47998046875,24376.560546875,10191.8896484375,49011.55859375
2019-04-17,93285,76.4000015258789,32037,5275.43017578125,26726.509765625,12801.900390625,45525.2890625
2015-08-20,46649,38.15999984741211,10863,3765.280029296875,18402.25,9386.7900390625,43036.58984375
2017-08-25,71074,58.13999938964844,23501,5176.10986328125,25842.310546875,10897.5595703125,51373.23046875
2014-04-14,51596,42.15999984741211,6398,3893.510009765625,19067.130859375,13947.4599609375,40530.69140625
2016-01-05,42419,34.90999984741211,11527,3626.1298828125,17915.73046875,8479.7998046875,42041.6796875
2018-10-22,85597,69.31999969482422,28568,5122.509765625,26086.849609375,12485.4501953125,46962.73828125
2018-02-08,81533,66.220001220703125,31022,5651.580078125,28522.439453125,11514.3701171875,47862.1015625
2014-09-02,61896,49.849998474121094,10116,4055.10009765625,19651.919921875,14681.91015625,45825.05859375
2015-11-09,46195,38.2599983215332,12871,3830.550048828125,18815.0390625,9167.2001953125,44479.23046875
2016-04-26,53083,43,13622,3952.85009765625,19448.140625,10102.0400390625,45416.8984375
2018-02-21,86052,69.80000305175781,33042,5706.5400390625,28633.189453125,11761.9501953125,48535.58984375
2013-08-01,49141,40.119998931884766,3432,3830.590087890625,18832.109375,13681.0302734375,41863.76171875
2013-09-03,51626,40.150001525878906,4056,3613.699951171875,17928.16015625,13735.490234375,39541.51171875
2016-03-14,48867,40.15999984741211,12546,3856.830078125,18890.51953125,9609.1298828125,44691.80078125
2016-07-11,53960,44.13999938964844,14977,4034.239990234375,19944.26953125,9682.6904296875,46177.609375
2016-03-02,44893,36.41999816894531,13221,3766.830078125,18453.689453125,9459.5498046875,44615.75
2019-02-12,96168,78.5,37686,5384.8798828125,27253.25,11953.4599609375,43113.7890625
2019-05-02,95528,78.3499984741211,30817,5141.580078125,26129.029296875,12659.990234375,44312.4296875
2015-05-28,53976,43.81999969482422,10972,4032.159912109375,19610.169921875,10192.0302734375,44807.30859375
2015-04-14,53982,43.880001068115234,11914,4018.820068359375,19523.279296875,10366.7998046875,45004.51953125
2016-03-08,49102,40.09000015258789,13405,3820.5400390625,18725.369140625,9590.7197265625,44504.2890625
2016-08-02,56162,45.7400016784668,15062,4089.070068359375,20231.189453125,9583.0400390625,46558.359375
2016-01-13,38944,32.34000015258789,10306,3531.580078125,17492.880859375,8049.419921875,41008.78125
2013-12-05,50788,41.61000061035156,5324,3729.68994140625,18340.220703125,13033.259765625,41910.078125
2017-09-12,74539,61.25,23529,5168.91015625,25832.029296875,11199.490234375,50480.9609375
