date,S&P500,S&P100,S&P400,DJI,DJT,DJU,NSDQComp,NSDQ100,RUI,RUT,RUA,W5000
2024-05-09,5214.080078125,2476.469970703125,2996.3701171875,39387.76171875,15512.5302734375,943.19000244140625,16346.259765625,18113.4609375,2855.840087890625,2073.6298828125,2983.300048828125,52416.140625
2012-10-23,1413.1099853515625,646.91998291015625,979,13102.5302734375,5107.31982421875,477.4700012207031,2990.4599609375,2666.02001953125,779.6199951171875,816.20001220703125,833.67999267578125,14769.1396484375
2023-12-14,4719.5498046875,2206.929931640625,2770.929931640625,37248.3515625,15912.919921875,897.15997314453125,14761.5595703125,16537.830078125,2594.860107421875,2000.510009765625,2719.2099609375,47790.609375
2014-04-22,1879.550048828125,831.7899780273436,1365.1600341796875,16514.369140625,7734.89990234375,542.82000732421875,4161.4599609375,3588.81005859375,1049.219970703125,1155.6099853515625,1126.3299560546875,20020.55078125
2015-04-16,2104.989990234375,920.72998046875,1534.239990234375,18105.76953125,8708.3603515625,585.28997802734375,5007.7900390625,4418.830078125,1176.9000244140625,1272.9000244140625,1261.550048828125,22324.91015625
2014-08-26,2000.02001953125,888.40997314453125,1434.75,17106.69921875,8421.3095703125,552.67999267578125,4570.64013671875,4071.669921875,1115.5899658203125,1175.1700439453125,1193.3900146484375,21193.5390625
2017-03-27,2341.590087890625,1038.0899658203125,1691.81005859375,20550.98046875,8935.1103515625,702.45001220703125,5840.3701171875,5374.27001953125,1297.6099853515625,1357.3199462890625,1386.97998046875,24353.19921875
2020-03-13,2711.02001953125,1237.199951171875,1546.75,23185.619140625,7939.39990234375,762.5999755859375,7874.8798828125,7995.259765625,1488.0400390625,1210.1300048828125,1564.7099609375,27142.669921875
2016-03-22,2049.800048828125,908.9000244140624,1429.9300537109375,17582.5703125,8011.669921875,654.989990234375,4821.66015625,4437.6201171875,1132.97998046875,1097.3399658203125,1204.050048828125,21100.109375
2011-09-23,1136.4300537109375,512.530029296875,794.42999267578125,10771.48046875,4218.77001953125,431.5499877929687,2483.22998046875,2206.860107421875,627.55999755859375,652.42999267578125,670.67999267578125,11927.009765625
2012-08-20,1418.1300048828125,652.22998046875,974.239990234375,13271.6396484375,5190.259765625,479.010009765625,3076.2099609375,2784.330078125,780.69000244140625,816.510009765625,834.760009765625,14784.259765625
2013-06-28,1606.280029296875,720.6199951171875,1160.8199462890625,14909.599609375,6173.85986328125,485.8999938964844,3403.25,2909.60009765625,890.6699829101564,977.47998046875,955.8499755859376,16992.08984375
2024-08-15,5543.22021484375,2672.429931640625,3009.1201171875,40563.05859375,15600.01953125,1000.9199829101562,17594.5,19490.150390625,3022.610107421875,2135.469970703125,3152.989990234375,55405.4609375
2016-04-21,2091.47998046875,931.0399780273436,1465.1500244140625,17982.51953125,8010.93994140625,633.1199951171875,4945.89013671875,4540.7998046875,1157.2099609375,1135.77001953125,1231.010009765625,21587.630859375
2023-07-27,4537.41015625,2113.739990234375,2694.6201171875,35282.71875,16408.01953125,933.8800048828124,14050.1103515625,15464.9296875,2487.010009765625,1954.9000244140625,2609,45835.51171875
